Known As,Full Name,Overall,Value,Best Position,Nationality,Age,Club Name,Joined On
C. Rigamonti,César Rigamonti,70,180000,GK,Argentina,35,Club Atlético Central Córdoba,2021
Álex Blanco,Alejandro Blanco Sánchez,70,2400000,LM,Spain,23,Como,2022
T. Tsingaras,Theocharis Tsingaras,70,3400000,CDM,Greece,21,Toulouse Football Club,2019
P. Mpoku,Paul-José Mpoku,70,1500000,RM,Congo DR,30,İttifak Holding Konyaspor,2021
C. Arboleda,Carlos Arboleda,70,350000,RB,Colombia,36,La Equidad,2021
D. Musto,Damián Musto,70,450000,CDM,Argentina,35,FC Cartagena,2022
S. Mmaee,Samy Mmaee,70,2000000,CB,Morocco,25,Ferencvárosi TC,2021
D. Warmerdam,Django Warmerdam,70,1700000,LWB,Netherlands,26,FC Utrecht,2020
T. Handwerker,Tim Handwerker,70,2100000,LWB,Germany,24,1. FC Nürnberg,2019
S. Pierotti,Santiago Pierotti,70,3200000,CAM,Argentina,21,Club Atlético Colón,2019
Eduardo Quaresma,Eduardo Filipe Quaresma,70,3600000,CB,Portugal,20,TSG Hoffenheim,2019
F. Brown Forbes,Felicio Brown Forbes,70,1600000,ST,Costa Rica,30,Wuhan FC,2022
W. Montoya,Walter Montoya,70,1600000,RM,Argentina,28,Rosario Central,2018
J. Portillo,Juan Portillo,70,3400000,CB,Argentina,22,Unión de Santa Fe,2020
Z. Bytyqi,Zymer Bytyqi,70,1900000,LM,Kosovo,25,İttifak Holding Konyaspor,2021
F. Montero,Fredy Montero,70,775000,ST,Colombia,34,Seattle Sounders FC,2021
A. Rosi,Aleandro Rosi,70,500000,RB,Italy,35,Perugia,2019
Serginho,Sérgio Antônio Soler Oliveira Jr,70,1600000,CAM,Brazil,28,Changchun Yatai FC,2020
J. Léa Siliki,James Léa Siliki,70,2100000,CM,Cameroon,26,Estoril Praia,2022
M. Jedlička,Martin Jedlička,70,1800000,GK,Czech Republic,24,FC Viktoria Plzeň,2022
M. Ibáñez,Matías Ibáñez,70,180000,GK,Argentina,35,Club Atlético Colón,2022
Jonaldo Monteiro,Jonaldo Kauã Monteiro Moura,70,1700000,LB,Brazil,22,Fortaleza,2022
H. Wahl,Hauke Wahl,70,1400000,CB,Germany,28,Holstein Kiel,2018
An Byong Jun,Byong Jun An,70,1300000,ST,Korea DPR,32,Suwon Samsung Bluewings,2022
G. Bergessio,Gonzalo Bergessio,70,550000,ST,Argentina,37,Platense,2022
A. Sampsted,Alfons Sampsted,70,2400000,RB,Iceland,24,FK Bodø/Glimt,2020
D. McCarty,Dax McCarty,70,450000,CDM,United States,35,Nashville SC,2019
F. Girotti,Federico Girotti,70,3200000,ST,Argentina,23,Club Atlético Talleres,2022
F. Mayembo,Fernand Mayembo,70,2000000,CB,Congo,26,AC Ajaccio,2022
D. Diekmeier,Dennis Diekmeier,70,1100000,RB,Germany,32,SV Sandhausen,2019
G. Togni,Gastón Togni,70,2000000,LM,Argentina,24,Defensa y Justicia,2017
Nuno da Costa,Nuno Miguel da Costa Jóia,70,1300000,ST,Cape Verde Islands,31,AJ Auxerre,2022
J. Yueill,Jackson Yueill,70,2000000,CM,United States,25,San Jose Earthquakes,2017
I. González,Ignacio González,70,800000,GK,Chile,32,CD Antofagasta,2020
J. Bataille,Jelle Bataille,70,2200000,RM,Belgium,23,Royal Antwerp FC,2021
Robert Navarro,Robert Navarro Muñoz,70,3500000,CAM,Spain,20,Real Sociedad,2019
F. Vera,Federico Vera,70,2400000,RB,Argentina,24,Unión de Santa Fe,2020
L. Colwill,Levi Colwill,70,3500000,CB,England,19,Brighton & Hove Albion,2020
F. Jara,Franco Jara,70,1000000,ST,Argentina,33,FC Dallas,2020
Pedro Díaz,Pedro Díaz Fanjul,70,3300000,CAM,Spain,24,Real Sporting de Gijón,2016
Brenner,Brenner Souza da Silva,70,3600000,ST,Brazil,22,FC Cincinnati,2021
B. Mykhaylichenko,Bogdan Mykhaylichenko,70,1900000,LWB,Ukraine,25,Shakhtar Donetsk,2020
F. Calderón,Franco Calderón,70,2200000,CB,Argentina,24,Unión de Santa Fe,2019
S. Prediger,Sebastián Prediger,70,450000,CDM,Argentina,35,Club Atlético Tigre,2018
K. Kamara,Kei Kamara,70,550000,ST,Sierra Leone,37,Club de Foot Montréal,2022
B. Baningime,Beni Baningime,70,3200000,CDM,Congo DR,23,Heart of Midlothian,2021
A. Trusty,Auston Trusty,70,2300000,CB,United States,23,Birmingham City,2022
Filipe Soares,Filipe Miguel Barros Soares,70,3200000,CAM,Portugal,23,PAOK,2022
Luildo Simões,Luan Vágner Simões Eustáquio,70,1900000,CF,Brazil,22,Sport Club Corinthians Paulista,2022
A. Albers,Andreas Albers,70,1300000,ST,Denmark,32,SSV Jahn Regensburg,2019
J. Chabot,Julian Chabot,70,2200000,CB,Germany,24,1. FC Köln,2019
N. Katić,Nikola Katić,70,1900000,CB,Croatia,25,FC Zürich,2022
F. Krüger,Florian Krüger,70,3600000,ST,Germany,23,FC Groningen,2022
R. Rodelin,Ronny Rodelin,70,1300000,ST,France,32,Servette FC,2021
D. Santacruz,Danilo Santacruz,70,1800000,CAM,Paraguay,27,Club Nacional,2019
Hervías,Pablo Hervías Ruiz,70,1600000,RM,Spain,29,Málaga CF,2022
Milton Menceiros,Milton Boas Menceiros Cunha,70,1300000,CB,Brazil,30,Ceará Sporting Club,2022
Arthur Gomes,Arthur Gomes Lourenço,70,2400000,CAM,Brazil,23,Sporting CP,2022
O. Maritu,Oscar Taty Maritu,70,3300000,ST,Congo DR,22,Shijiazhuang Ever Bright F.C.,2021
Juan Villar,Juan Villar Vázquez,70,775000,RW,Spain,34,SD Huesca,2022
G. Wikheim,Gustav Wikheim,70,1600000,LW,Norway,29,Djurgårdens IF,2022
Álvaro Lemos,Álvaro Lemos Collazo,70,1400000,RB,Spain,29,Unión Deportiva Las Palmas,2018
M. Bola,Marc Bola,70,2200000,LWB,England,24,Middlesbrough,2019
A. Murgia,Alessandro Murgia,70,2100000,CM,Italy,25,SPAL,2019
T. Edwards,Tom Edwards,70,3000000,RWB,England,23,Barnsley,2016
Mollejo,Víctor Mollejo Carpintero,70,3600000,LM,Spain,21,Real Zaragoza,2018
L. Dykes,Lyndon Dykes,70,2000000,ST,Scotland,26,Queens Park Rangers,2020
A. Ezzalzouli,Abdessamad Ezzalzouli,70,3800000,LW,Morocco,20,CA Osasuna,2021
D. Kownacki,Dawid Kownacki,70,2200000,ST,Poland,25,Fortuna Düsseldorf,2019
F. Passlack,Felix Passlack,70,2300000,RWB,Germany,24,Borussia Dortmund,2015
D. Nikolaou,Dimitrios Nikolaou,70,2300000,CB,Greece,23,Spezia,2021
Jeong Tae Wook,Tae Wook Jeong,70,2900000,CB,Korea Republic,25,Daegu FC,2019
Rubén Pardo,Rubén Pardo Gutiérrez,70,1600000,CAM,Spain,29,CD Leganés,2021
Y. Magnin,Yohann Magnin,70,1900000,CDM,France,25,Clermont Foot 63,2018
H. Ekdal,Hjalmar Ekdal,70,3300000,CB,Sweden,23,Djurgårdens IF,2021
S. Appelkamp,Shinta Appelkamp,70,3600000,CAM,Germany,21,Fortuna Düsseldorf,2019
S. Bradley,Sonny Bradley,70,1300000,CB,England,30,Luton Town,2018
H. Fertoli,Héctor Fertoli,70,1700000,LM,Argentina,27,Club Atlético Talleres,2020
O. Berg,Oliver Berg,70,1600000,CF,Norway,28,Kalmar FF,2021
Xavier,António Manuel Pereira Xavier,70,1600000,LW,Portugal,29,Panathinaikos FC,2020
K. Naughton,Kyle Naughton,70,750000,CB,England,33,Swansea City,2015
G. Falcón,Gonzalo Falcón,70,1900000,GK,Uruguay,25,LDU Quito,2022
S. Lletget,Sebastian Lletget,70,1600000,CAM,United States,29,FC Dallas,2022
J. Willis,Joe Willis,70,525000,GK,United States,33,Nashville SC,2019
R. Hedges,Ryan Hedges,70,1700000,RW,Wales,26,Blackburn Rovers,2022
Á. Lang,Ádám Lang,70,0,CB,Hungary,29,Free agent,2019
Q. Laçi,Qazim Laçi,70,2000000,RM,Albania,26,AC Ajaccio,2018
S. Jørgensen,Sebastian Jørgensen,70,2600000,LM,Denmark,22,Silkeborg IF,2018
Juanfran,Juan Francisco Moreno Fuertes,70,825000,RB,Spain,33,Málaga CF,2022
Song Bum Keun,Bum Keun Song,70,3100000,GK,Korea Republic,24,Jeonbuk Hyundai Motors,2018
T. Leistner,Toni Leistner,70,1100000,CB,Germany,31,Sint-Truidense VV,2021
L. Mühl,Lukas Mühl,70,2000000,CB,Germany,25,FK Austria Wien,2021
L. Vido,Luca Vido,70,2100000,ST,Italy,25,Palermo,2017
A. Carboni,Andrea Carboni,70,3300000,CB,Italy,21,AC Monza,2022
J. Fortelný,Jan Fortelný,70,2500000,CAM,Czech Republic,23,AC Sparta Praha,2020
A. Traustason,Arnór Ingvi Traustason,70,1600000,LW,Iceland,29,IFK Norrköping,2022
F. Forte,Francesco Forte,70,1600000,ST,Italy,29,Benevento,2022
S. Vecchia,Stefano Vecchia,70,1700000,LW,Sweden,27,Rosenborg BK,2021
M. Polster,Matt Polster,70,1400000,CDM,United States,29,New England Revolution,2020
K. Schindler,Kingsley Schindler,70,1600000,RM,Ghana,28,1. FC Köln,2019
D. Vukovic,Danny Vukovic,70,180000,GK,Australia,37,Central Coast Mariners,2022
A. Jahouh,Ahmed Jahouh,70,800000,CDM,Morocco,33,Mumbai City FC,2020
M. Lode,Marius Lode,70,1300000,CB,Norway,29,FK Bodø/Glimt,2022
M. Aioani,Marian Aioani,70,3100000,GK,Romania,22,FC Farul Constanța,2021
D. Limnios,Dimitris Limnios,70,2400000,CAM,Greece,24,1. FC Köln,2020
A. Palaversa,Ante Palaversa,70,3600000,CDM,Croatia,22,ESTAC Troyes,2022
K. Théophile-Catherine,Kévin Théophile-Catherine,70,1000000,CB,France,32,Dinamo Zagreb,2018
M. Gueye,Makhtar Gueye,70,2400000,ST,Senegal,24,Real Zaragoza,2020
J. Dunne,Jimmy Dunne,70,2200000,CB,Republic of Ireland,24,Queens Park Rangers,2021
Eltildo Bessa,Elton Matheus Bessa Acuna,70,1800000,CF,Brazil,26,Fortaleza,2022
S. Giordana,Santiago Giordana,70,1700000,ST,Argentina,27,Mushuc Runa,2021
S. Wright,Scott Wright,70,2200000,RM,Scotland,24,Rangers FC,2021
Ryder Matos,Ryder Matos Santos Pinto,70,1600000,RW,Brazil,29,Perugia,2021
B. Mendy,Batista Mendy,70,3400000,CB,France,22,Angers SCO,2021
Chumi,Juan Brandáriz Movilla,70,3300000,CB,Spain,23,Unión Deportiva Almería,2020
Jesús Imaz,Jesús Imaz Ballesté,70,1300000,RW,Spain,31,Jagiellonia Białystok,2019
A. Ceesay,Assan Ceesay,70,1600000,ST,Gambia,28,Lecce,2022
I. Maatsen,Ian Maatsen,70,3700000,LB,Netherlands,20,Burnley,2019
Vieirinha,Adelino André Vieira de Freitas,70,350000,CAM,Portugal,36,PAOK,2020
D. Rodríguez,Diego Rodríguez,70,525000,GK,Argentina,33,Godoy Cruz,2022
K. Dougall,Kenny Dougall,70,1400000,CDM,Australia,29,Blackpool,2020
R. Ogawa,Ryoya Ogawa,70,1800000,LWB,Japan,25,Vitória de Guimarães,2015
S. Gallagher,Sam Gallagher,70,1900000,ST,England,26,Blackburn Rovers,2019
D. Kinsombi,David Kinsombi,70,1900000,CM,Germany,26,SV Sandhausen,2022
R. Improta,Riccardo Improta,70,1600000,LW,Italy,28,Benevento,2018
Rodrigo Muniz,Rodrigo Muniz Carvalho,70,3600000,ST,Brazil,21,Middlesbrough,2021
J. Sala,Jacopo Sala,70,1300000,CDM,Italy,30,Spezia,2020
Iván Martín,Iván Martín Núñez,70,3500000,CAM,Spain,23,Girona FC,2018
A. Besedin,Artem Besedin,70,2100000,ST,Ukraine,26,Dynamo Kyiv,2017
M. Branderhorst,Mattijs Branderhorst,70,1400000,GK,Netherlands,28,N.E.C. Nijmegen,2019
E. Laird,Ethan Laird,70,3700000,RM,England,20,Queens Park Rangers,2018
T. Campbell,Tyrese Campbell,70,2600000,ST,England,22,Stoke City,2017
R. Camacho,Rudy Camacho,70,1100000,CB,France,31,Club de Foot Montréal,2022
F. Altamirano,Facundo Altamirano,70,1600000,GK,Argentina,26,Patronato,2017
O. Brynhildsen,Ola Brynhildsen,70,3200000,RM,Norway,23,Molde FK,2020
J. Vanlerberghe,Jordi Vanlerberghe,70,1800000,CDM,Belgium,26,KV Mechelen,2020
C. Pickel,Charles Pickel,70,2200000,CDM,Switzerland,25,US Cremonese,2022
D. Arboleda,Danilo Arboleda,70,1800000,CB,Colombia,27,Al Ain FC,2022
David Ferreiro,David Ferreiro Quiroga,70,750000,RW,Spain,34,FC Cartagena,2022
H. Vetlesen,Hugo Vetlesen,70,3200000,CAM,Norway,22,FK Bodø/Glimt,2020
Arthur Silbeira,Douglas Arthur Silbeira Martins,70,1800000,ST,Brazil,26,Santos,2022
F. Dabo,Fankaty Dabo,70,1900000,RWB,England,26,Coventry City,2019
P. Jagielka,Phil Jagielka,70,275000,CB,England,39,Stoke City,2022
O. Marciano,Ofir Marciano,70,800000,GK,Israel,32,Feyenoord,2021
L. Shankland,Lawrence Shankland,70,1900000,ST,Scotland,26,Heart of Midlothian,2022
D. Churlinov,Darko Churlinov,70,3600000,CAM,North Macedonia,21,Burnley,2022
G. Isaksen,Gustav Isaksen,70,3600000,LM,Denmark,21,FC Midtjylland,2019
Roberto López,Roberto López Alcaide,70,3600000,CAM,Spain,22,CD Mirandés,2021
J. Fjóluson,Jón Guðni Fjóluson,70,750000,CB,Iceland,33,Hammarby IF,2021
C. Colmán,Cristian Colmán,70,1600000,ST,Paraguay,28,Barracas Central,2022
M. Rigione,Michele Rigione,70,1100000,CB,Italy,31,Cosenza,2021
F. Klos,Fabian Klos,70,775000,ST,Germany,34,DSC Arminia Bielefeld,2011
Juan Cala,Juan Torres Ruiz,70,1000000,CB,Spain,32,Cádiz CF,2019
F. Nürnberger,Fabian Nürnberger,70,2500000,CAM,Germany,22,1. FC Nürnberg,2019
G. Biancone,Giulian Biancone,70,3300000,CB,France,22,Nottingham Forest,2022
Flavio,Flavio Medeiros da Silva,70,1700000,CDM,Brazil,26,Al Taawoun,2020
V. Henry,Valentin Henry,70,1400000,RB,France,28,FC Sochaux-Montbéliard,2021
G. Paletta,Gabriel Paletta,70,275000,CB,Italy,36,AC Monza,2019
Josep Señé,Josep Señé Escudero,70,1500000,CAM,Spain,30,CD Lugo,2021
A. Ounahi,Azzedine Ounahi,70,3600000,CM,Morocco,22,Angers SCO,2021
F. Uremović,Filip Uremović,70,2000000,CB,Croatia,25,Hertha BSC,2022
M. Gabbia,Matteo Gabbia,70,3300000,CB,Italy,22,AC Milan,2017
C. Puertas,Cameron Puertas,70,2400000,CM,Switzerland,23,Royale Union Saint-Gilloise,2022
Pelé,Judilson Mamadu Tuncará Gomes,70,1300000,CDM,Guinea Bissau,30,Futebol Clube de Famalicão,2018
J. Jeanvier,Julian Jeanvier,70,1300000,CB,Guinea,29,AJ Auxerre,2022
F. Viáfara,Fabián Viáfara,70,1400000,RB,Colombia,30,Junior FC,2020
G. Altare,Giorgio Altare,70,2200000,CB,Italy,23,Cagliari,2021
Aarón,Aarón Escandell,70,1800000,GK,Spain,26,FC Cartagena,2022
Wanderson,Wanderson Carvalho Oliveira,70,1000000,RM,Brazil,33,Pohang Steelers,2022
João Carvalho,João António Antunes Carvalho,70,2200000,CAM,Portugal,25,Estoril Praia,2022
F. Ioannidis,Fotis Ioannidis,70,3300000,ST,Greece,22,Panathinaikos FC,2020
João Nunes,João Aniceto Grandela Nunes,70,2100000,CB,Portugal,26,Casa Pia,2022
A. Deneumostier,Alec Deneumostier,70,3300000,CB,Peru,23,FBC Melgar,2018
J. Sánchez Miño,Juan Sánchez Miño,70,1100000,LB,Argentina,32,Club Atlético Colón,2022
M. Diemers,Mark Diemers,70,1600000,CM,Netherlands,28,FC Emmen,2020
Sergi Palencia,Sergi Palencia Hurtado,70,1800000,RWB,Spain,26,AS Saint-Étienne,2019
D. Črnigoj,Domen Črnigoj,70,2000000,CAM,Slovenia,26,Venezia FC,2020
C. Antwi-Adjei,Christopher Antwi-Adjei,70,1600000,LW,Ghana,28,VfL Bochum 1848,2021
F. Downes,Flynn Downes,70,2300000,CDM,England,23,West Ham United,2022
Min Sang Gi,Sang Gi Min,70,1300000,CB,Korea Republic,30,Suwon Samsung Bluewings,2010
J. Laurent,Josh Laurent,70,1800000,CB,England,27,Stoke City,2022
J. Carbonero,Johan Carbonero,70,3600000,RM,Colombia,22,Racing Club,2022
Luismi,Luis Miguel Sánchez Benítez,70,1300000,CDM,Spain,30,Real Oviedo,2021
A. Cabeza,Alejandro Cabeza,70,2100000,ST,Ecuador,25,CS Emelec,2021
J. Giraudon,Jimmy Giraudon,70,1300000,CB,France,30,AS Saint-Étienne,2022
Kike Pérez,Enrique Pérez Muñoz,70,2300000,CAM,Spain,25,Real Valladolid CF,2019
D. Drexler,Dominick Drexler,70,1300000,CAM,Germany,32,FC Schalke 04,2021
C. Zimmermann,Christoph Zimmermann,70,1300000,CB,Germany,29,SV Darmstadt 98,2022
C. Medina,Cristian Medina,70,3500000,CM,Argentina,20,Boca Juniors,2020
Ademilson,Ademilson Braga Bispo Júnior,70,1600000,RW,Brazil,28,Wuhan Three Towns,2021
Lee Chung Yong,Chung Yong Lee,70,1000000,RM,Korea Republic,33,Ulsan Hyundai FC,2020
C. Eiting,Carel Eiting,70,2500000,CM,Netherlands,24,FC Volendam,2022
Á. Cardozo Lucena,Ángel Cardozo Lucena,70,1800000,CM,Paraguay,27,Club Cerro Porteño,2020
M. Cho,Mohamed-Ali Cho,70,3700000,ST,France,18,Real Sociedad,2022
Fontàs,Andreu Fontàs Prat,70,1000000,CDM,Spain,32,Sporting Kansas City,2018
R. Arias,Ramón Arias,70,1300000,CB,Uruguay,29,GZT Giresunspor,2022
M. Roberts,Marc Roberts,70,1100000,CB,England,31,Birmingham City,2017
S. Hlanti,Sifiso Hlanti,70,1100000,LB,South Africa,32,Kaizer Chiefs,2021
R. Dugalić,Rade Dugalić,70,1500000,CB,Serbia,29,Meizhou Hakka,2022
H. Van Der Bruggen,Hannes Van Der Bruggen,70,1600000,CM,Belgium,29,KSV Cercle Brugge,2021
N. Loyola,Nilson Loyola,70,1700000,LB,Peru,27,Club Sporting Cristal,2019
M. Falcón,Maximiliano Falcón,70,2000000,CB,Uruguay,25,Colo-Colo,2020
F. Afena-Gyan,Felix Afena-Gyan,70,3500000,ST,Ghana,19,US Cremonese,2022
Vigaray,Carlos Martín Vigaray,70,1500000,RB,Spain,27,Real Zaragoza,2019
R. Amalfitano,Romain Amalfitano,70,1300000,CM,France,32,Western Sydney Wanderers,2022
C. Aquino,Claudio Aquino,70,1500000,LM,Argentina,30,Club Cerro Porteño,2020
A. Mandrea,Anthony Mandrea,70,1900000,GK,Algeria,25,Stade Malherbe Caen,2022
M. Prévot,Maxence Prévot,70,1900000,GK,France,25,FC Sochaux-Montbéliard,2016
J. de Guzmán,Jonathan de Guzmán,70,725000,CAM,Netherlands,34,Sparta Rotterdam,2022
M. Ramírez,Moisés Ramírez,70,3100000,GK,Ecuador,21,Independiente del Valle,2018
M. Debuchy,Mathieu Debuchy,70,275000,CB,France,36,Valenciennes FC,2021
T. Lockyer,Tom Lockyer,70,1500000,CB,Wales,27,Luton Town,2020
P. Akouokou,Paul Akouokou,70,3300000,CDM,Côte d'Ivoire,24,Real Betis Balompié,2018
S. Nealis,Sean Nealis,70,2000000,CB,United States,25,New York Red Bulls,2019
Bryan Corozo,Washington Corozo,70,2300000,ST,Ecuador,23,Austin FC,2022
S. Ernst,Sebastian Ernst,70,1800000,CAM,Germany,27,Hannover 96,2021
F. Russo,Franco Russo,70,1800000,CB,Argentina,27,RCD Mallorca,2018
R. Dugimont,Rémy Dugimont,70,525000,ST,France,36,AJ Auxerre,2018
A. Rinomhota,Andy Rinomhota,70,2000000,CB,England,25,Cardiff City,2022
C. Ferreira,Cristian Ferreira,70,2500000,CAM,Argentina,22,Newell's Old Boys,2017
A. Yusuf,Alhassan Yusuf,70,3200000,CAM,Nigeria,21,Royal Antwerp FC,2021
K. Bistrović,Kristijan Bistrović,70,2300000,CM,Croatia,24,Lecce,2018
J. Pineda,Jean Carlos Pineda,70,2400000,CAM,Colombia,24,Independiente Medellín,2020
W. Pacheco,Walmer Pacheco,70,1700000,RB,Colombia,27,Junior FC,2021
K. Rüegg,Kevin Rüegg,70,2400000,RM,Switzerland,23,BSC Young Boys,2020
Ivanildo Fernandes,Ivanildo Jorge Mendes Fernandes,70,2100000,CB,Portugal,26,FC Vizela,2021
M. Samoise,Matisse Samoise,70,3500000,RM,Belgium,20,KAA Gent,2020
Copete,José Manuel Arias Copete,70,3300000,CB,Spain,22,RCD Mallorca,2022
B. Locko,Bradley Locko,70,3300000,LB,France,20,Stade de Reims,2020
Nouhou,Nouhou Tolo,70,1700000,LB,Cameroon,25,Seattle Sounders FC,2017
E. Ćivić,Eldar Ćivić,70,1800000,LWB,Bosnia and Herzegovina,26,Ferencvárosi TC,2019
K. Papadopoulos,Kyriakos Papadopoulos,70,1300000,CB,Greece,30,FC U Craiova 1948,2022
J. Niezgoda,Jarosław Niezgoda,70,1700000,ST,Poland,27,Portland Timbers,2020
M. Jeahze,Mohanad Jeahze,70,2100000,LWB,Iraq,25,Hammarby IF,2020
D. Đoković,Damjan Đoković,70,1100000,CDM,Croatia,32,Al Raed,2022
Liu Binbin,Binbin Liu,70,1600000,LM,China PR,29,Shandong Taishan,2012
J. Eggestein,Johannes Eggestein,70,2500000,CAM,Germany,24,FC St. Pauli,2022
Kang Hyeon Mu,Hyeon Mu Kang,70,1500000,GK,Korea Republic,27,Pohang Steelers,2014
B. Gibson,Ben Gibson,70,1300000,CB,England,29,Norwich City,2021
L. Fiordilino,Luca Fiordilino,70,2000000,RWB,Italy,25,Venezia FC,2019
P. Neumann,Phil Neumann,70,2200000,RB,Germany,24,Hannover 96,2022
O. Shukurov,Otabek Shukurov,70,2100000,CM,Uzbekistan,26,Fatih Karagümrük S.K.,2022
L. Tempelmann,Lino Tempelmann,70,2400000,CAM,Germany,23,1. FC Nürnberg,2018
Antônio Carlos,Antônio Carlos Cunha Capocasali Jr,70,1300000,CB,Brazil,29,Orlando City Soccer Club,2021
L. Benito,Loris Benito,70,1400000,LB,Switzerland,30,BSC Young Boys,2022
L. Ruiz,Leonardo Ruiz,70,2000000,ST,Colombia,26,Rio Ave FC,2022
A. Bell,Amari'i Bell,70,1400000,LWB,Jamaica,28,Luton Town,2021
V. Birmančević,Veljko Birmančević,70,2500000,CAM,Serbia,24,Toulouse Football Club,2022
S. Mele,Santiago Mele,70,2000000,GK,Uruguay,24,Unión de Santa Fe,2020
I. Sissokho,Issouf Sissokho,70,3300000,CDM,Mali,20,FC Girondins de Bordeaux,2020
D. Valencia,Diego Valencia,70,3600000,ST,Chile,22,US Salernitana 1919,2022
G. Vrioni,Giacomo Vrioni,70,2500000,ST,Albania,23,New England Revolution,2022
D. Baumgartner,Dominik Baumgartner,70,2000000,CB,Austria,25,RZ Pellets Wolfsberger AC,2020
B. Kamara,Bingourou Kamara,70,1900000,GK,Senegal,25,Montpellier Hérault SC,2022
M. Al Buraik,Mohammed Al Buraik,70,1400000,RB,Saudi Arabia,29,Al Hilal,2014
M. Camporese,Michele Camporese,70,1300000,CB,Italy,30,Urbs Reggina 1914,2022
M. Rodríguez,Martín Rodríguez,70,1700000,LW,Chile,27,D.C. United,2022
J. McLaughlin,Jon McLaughlin,70,275000,GK,Scotland,34,Rangers FC,2020
Thiago Cionek,Thiago Rangel Cionek,70,275000,CB,Poland,36,Urbs Reggina 1914,2020
L. Lezzerini,Luca Lezzerini,70,1600000,GK,Italy,27,Brescia,2022
M. Rohdén,Marcus Rohdén,70,1300000,CM,Sweden,31,Frosinone,2019
A. Du Preez,Ashley Du Preez,70,2300000,ST,South Africa,24,Kaizer Chiefs,2022
Y. Konoplyanka,Yevhen Konoplyanka,70,1300000,LM,Ukraine,32,Cracovia,2022
Mexer,Edson André Sitoe,70,750000,CB,Mozambique,33,Estoril Praia,2022
T. St. Jago,Tommy St. Jago,70,3300000,CB,Netherlands,22,FC Utrecht,2017
J. Elías,Jalil Elías,70,2000000,CDM,Argentina,26,San Lorenzo de Almagro,2021
M. Vandevoordt,Maarten Vandevoordt,70,3400000,GK,Belgium,20,KRC Genk,2018
T. Sakamoto,Tatsuhiro Sakamoto,70,2100000,CAM,Japan,25,KV Oostende,2022
A. Ciranni,Alessandro Ciranni,70,1900000,RWB,Belgium,26,SV Zulte Waregem,2021
Mikel Rico,Mikel Rico Moreno,70,500000,CDM,Spain,37,FC Cartagena,2022
José Rodríguez,José Rodríguez Martínez,70,1800000,CM,Spain,27,Royale Union Saint-Gilloise,2022
A. Sapara,Adewale Sapara,70,1700000,LW,Nigeria,27,Portimonense SC,2022
O. Ndah,Olisa Ndah,70,3300000,CB,Nigeria,24,Orlando Pirates,2021
M. Büchel,Marcel Büchel,70,1100000,CDM,Liechtenstein,31,Ascoli,2020
M. Baturina,Martin Baturina,70,4099999,CAM,Croatia,19,Dinamo Zagreb,2021
R. Durmisi,Riza Durmisi,70,1400000,LB,Denmark,28,CD Leganés,2018
M. Perrone,Máximo Perrone,70,3800000,CM,Argentina,19,Vélez Sarsfield,2022
M. Le Bihan,Mickaël Le Bihan,70,1300000,ST,France,32,Dijon FCO,2021
S. Rieks,Søren Rieks,70,650000,LW,Denmark,35,Malmö FF,2018
C. Davies,Curtis Davies,70,275000,CB,England,37,Derby County,2017
F. Monetti,Fernando Monetti,70,525000,GK,Argentina,33,Club Atlético Lanús,2022
S. Moreira,Steven Moreira,70,1500000,RB,France,27,Columbus Crew,2021
B. Rahman,Baba Rahman,70,1500000,LWB,Ghana,27,Reading,2015
E. Marcondes,Emiliano Marcondes,70,1700000,CAM,Denmark,27,AFC Bournemouth,2021
C. Benavídez,Carlos Benavídez,70,1900000,CB,Uruguay,24,Deportivo Alavés,2022
A. Yakubu,Abdul-Aziz Yakubu,70,3600000,ST,Ghana,23,Rio Ave FC,2021
T. Ebuehi,Tyronne Ebuehi,70,1800000,RB,Nigeria,26,Empoli,2022
F. Colidio,Facundo Colidio,70,3600000,ST,Argentina,22,Club Atlético Tigre,2017
Á. Szalai,Ádám Szalai,70,775000,ST,Hungary,34,FC Basel 1893,2022
M. Bettinelli,Marcus Bettinelli,70,1200000,GK,England,30,Chelsea,2021
A. Milić,Antonio Milić,70,1500000,CB,Croatia,28,Lech Poznań,2021
O. Christensen,Oliver Christensen,70,3100000,GK,Denmark,23,Hertha BSC,2021
S. Lončar,Stjepan Lončar,70,2000000,CM,Bosnia and Herzegovina,25,KV Kortrijk,2021
Nono,Jose Antonio Delgado Villar,70,1600000,CM,Spain,29,Damac FC,2022
J. Irvine,Jackson Irvine,70,1600000,CM,Australia,29,FC St. Pauli,2021
L. Kelly,Liam Kelly,70,1800000,GK,Scotland,26,Motherwell,2021
S. Bastien,Samuel Bastien,70,2100000,RM,Congo DR,25,Burnley,2022
J. Pollersbeck,Julian Pollersbeck,70,1600000,GK,Germany,27,Olympique Lyonnais,2020
